smiles,bin_activity
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]c(-c3ccccc3F)nc12,1
O=C(NC1CCOCC1)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]ncc12,0
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)c2[nH]ccc2c1,0
O=C(NCCC1CC1)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc(C2CC2)c1,0
C=CC[C@H]1NCc2cc(NC(=O)c3cccc4c3CC(=O)N4)ccc21,0
C=CC[C@H]1NCc2cc(N[C@H](C(=O)NC(C)C)c3cc(Cl)cc4[nH]ncc34)ccc21,0
O=C(Nc1cc2c(cc1Br)CNC2)c1cc(F)cc2[nH]ncc12,0
O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2cc[nH]c12,0
O=C1Cc2cc(C(=O)Nc3ccc4c(c3)CNC4)ccc2N1,1
O=C(Nc1cc2c(c(C3=CCOCC3)c1)CNC2)c1cc(F)cc2[nH]ncc12,0
NCc1cccc(-c2csc3cc(C(=O)Nc4ccc5c(c4)CNC5)ccc23)c1,0
O=C(Nc1cc(Cl)cc(C(=O)Nc2ccc3c(c2)CNC3)c1)OCc1ccccc1,0
Cc1c(C(=O)Nc2cc(CCCN)ccn2)cc(C2CC2)n1C,0
C=CC[C@H](Nc1cc(Cl)cc(NC(=O)OCc2ccccc2)c1)c1cccc(-c2nn[nH]n2)c1,1
NCc1cccc([C@H]2C[C@@H]2c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)c1,0
O=C(Nc1cc2c(c(C3=CCS(=O)(=O)CC3)c1)CNC2)c1cc(F)cc2[nH]ncc12,0
CC(C)(c1nc2c(C(=O)Nc3ccc4c(c3)CNC4)cc(F)cc2[nH]1)S(C)(=O)=O,0
NCCc1csc2cc(C(=O)Nc3ccc4c(c3)CNC4)ccc12,0
O=C(NCC(F)F)[C@H](Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]ccc12,0
O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2nn(-c3ccccc3)nc12,1
Cc1cccc(-c2nc3c(C(=O)Nc4ccc5c(c4)CNC5)cc(Cl)cc3[nH]2)c1O,1
CC(C)NC(=O)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]c(-c3ccccc3)nc12,1
O=C(NCC(F)F)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc(C2CC2)c1,0
O=C(Nc1ccc2c(c1)CNC2)c1cc(Br)cc2[nH]c(=O)[nH]c12,0
Clc1cc([C@@H]2C[C@H]2c2cccc(C3CCNCC3)c2)c2cn[nH]c2c1,1
O=C1Cc2c(cc(Br)cc2C(=O)Nc2ccc3c(c2)CNC3)N1,0
O=C(Nc1ccc2c(c1)CNC2)c1cc(Br)cc2[nH]ccc12,0
CNC(=O)[C@H](Nc1cc(CN)cc(C(=O)O)c1)c1cc(Cl)cc(C2CC2)c1,0
CC(C)(C)c1cc(Br)cc(C(=O)Nc2ccc3c(c2)CNC3)c1,0
O=C(Nc1ccc2c(c1)CNCC2)c1cc(Cl)cc2[nH]ncc12,0
Clc1ccc2[nH]cc(Cc3ccc(-c4nn[nH]n4)cc3)c2c1,0
