smiles,IC50_uM,pIC50,bin_activity,Standard Value,Standard Units,Standard Relation,Assay Organism,Target ChEMBL ID,Target Name,serotype
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]c(-c3ccccc3F)nc12,3.856,5.413862974769207,1,3856.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(NC1CCOCC1)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]ncc12,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)c2[nH]ccc2c1,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(NCCC1CC1)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc(C2CC2)c1,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
C=CC[C@H]1NCc2cc(NC(=O)c3cccc4c3CC(=O)N4)ccc21,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
C=CC[C@H]1NCc2cc(N[C@H](C(=O)NC(C)C)c3cc(Cl)cc4[nH]ncc34)ccc21,81.831,4.087082141579271,0,81831.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1cc2c(cc1Br)CNC2)c1cc(F)cc2[nH]ncc12,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2cc[nH]c12,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C1Cc2cc(C(=O)Nc3ccc4c(c3)CNC4)ccc2N1,4.473,5.349401101827343,1,4473.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1cc2c(c(C3=CCOCC3)c1)CNC2)c1cc(F)cc2[nH]ncc12,39.867,4.399386443857686,0,39867.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
NCc1cccc(-c2csc3cc(C(=O)Nc4ccc5c(c4)CNC5)ccc23)c1,29.855,4.5249829244822015,0,29855.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1cc(Cl)cc(C(=O)Nc2ccc3c(c2)CNC3)c1)OCc1ccccc1,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
Cc1c(C(=O)Nc2cc(CCCN)ccn2)cc(C2CC2)n1C,25.482,4.593766488625677,0,25482.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
C=CC[C@H](Nc1cc(Cl)cc(NC(=O)OCc2ccccc2)c1)c1cccc(-c2nn[nH]n2)c1,6.406,5.193413065672197,1,6406.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
NCc1cccc([C@H]2C[C@@H]2c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)c1,25.334,4.5962962337870925,0,25334.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1cc2c(c(C3=CCS(=O)(=O)CC3)c1)CNC2)c1cc(F)cc2[nH]ncc12,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
CC(C)(c1nc2c(C(=O)Nc3ccc4c(c3)CNC4)cc(F)cc2[nH]1)S(C)(=O)=O,16.069,4.794011149247549,0,16069.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
NCCc1csc2cc(C(=O)Nc3ccc4c(c3)CNC4)ccc12,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(NCC(F)F)[C@H](Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]ccc12,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2nn(-c3ccccc3)nc12,2.69,5.570247719997592,1,2690.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
Cc1cccc(-c2nc3c(C(=O)Nc4ccc5c(c4)CNC5)cc(Cl)cc3[nH]2)c1O,4.255,5.371100435579393,1,4255.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
CC(C)NC(=O)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]c(-c3ccccc3)nc12,7.461,5.127202960010401,1,7461.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(NCC(F)F)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc(C2CC2)c1,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1cc(Br)cc2[nH]c(=O)[nH]c12,32.728,4.485080533509683,0,32728.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
Clc1cc([C@@H]2C[C@H]2c2cccc(C3CCNCC3)c2)c2cn[nH]c2c1,5.945,5.225848141045289,1,5945.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C1Cc2c(cc(Br)cc2C(=O)Nc2ccc3c(c2)CNC3)N1,84.55,4.072886388066239,0,84550.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1cc(Br)cc2[nH]ccc12,34.724,4.459370252450976,0,34724.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
CNC(=O)[C@H](Nc1cc(CN)cc(C(=O)O)c1)c1cc(Cl)cc(C2CC2)c1,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
CC(C)(C)c1cc(Br)cc(C(=O)Nc2ccc3c(c2)CNC3)c1,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNCC2)c1cc(Cl)cc2[nH]ncc12,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
Clc1ccc2[nH]cc(Cc3ccc(-c4nn[nH]n4)cc3)c2c1,62.907,4.201301025584539,0,62907.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
N[C@H]1CC[C@H](c2ccc(NC(=O)c3cc(Cl)cc(NC(=O)OCc4ccccc4)c3)cc2)C1,8.493,5.0709388759152345,1,8493.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
N=C(N)NCCC[C@H](NC(=O)c1nccs1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(N)=O)c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,1.033,5.985899678480379,1,1033.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
N=C(N)NCCC[C@H](NC(=O)[C@H](Cc1ccc(CN)cc1)NC(=O)c1ccccc1)B(O)O,0.315,6.501689446210399,1,315.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
NCc1ccc([C@H]2C[C@@H]2c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)cc1,8.889,5.051147093800287,1,8889.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1cc(Cl)cc(C(=O)Nc2ccc3c(c2)CCNC3)c1)OCc1ccccc1,47.725,4.321254062934296,0,47725.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C1Cc2c(cccc2C(=O)Nc2ccc3c(c2)CNC3)N1,11.306,4.9466910188759,0,11306.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1cc(Br)cc2ccccc12,83.668,4.077440612266171,0,83668.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
OCC#C[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]ncc12,19.396,4.712287824556514,0,19396.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
N#C[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]ncc12,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
N=C(N)NCCC[C@H](NC(=O)[C@H](Cc1ccc(CN)cc1)NC(=O)c1ccccc1)B(O)O,0.31,6.508638306165727,1,310.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1cccc2c(C3CNC3)n[nH]c12,92.913,4.0319235170798144,0,92913.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]c(-c3ccc(F)cc3)nc12,2.796,5.553462832926356,1,2796.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
NCc1csc2cc(C(=O)Nc3ccc4c(c3)CNC4)ccc12,9.985,5.000651930793278,1,9985.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
NCc1ccc(-c2csc3cc(C(=O)Nc4ccc5c(c4)CNC5)ccc23)cc1,31.66,4.499489089473663,0,31660.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
N#Cc1cccc(-c2nc3c(C(=O)Nc4ccc5c(c4)CNC5)cc(F)cc3[nH]2)c1,2.412,5.617622696531886,1,2412.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1ccc2c(C3=CCNCC3)csc2c1,56.25,4.2498774732166,0,56250.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
N=C(N)NCCC[C@H](NC(=O)c1nccs1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(N)=O)c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,0.926,6.033389013318065,1,926.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
CC(C)c1cc(Br)cc(C(=O)Nc2ccc3c(c2)CNC3)c1,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2c1CCC2,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
N=C(N)NCCC[C@H](NC(=O)c1nccs1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(N)=O)c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,1.028,5.988006885340743,1,1028.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
Cc1c(C(=O)Nc2cc(-c3cccnc3)ccn2)cc(C2CC2)n1C,4.832,5.315873074386925,1,4832.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1cccc2[nH]c(=O)[nH]c12,65.525,4.183592970381362,0,65525.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
CNC(=O)[C@H](Nc1cc(Cl)cc(NC(=O)OCc2ccccc2)c1)c1cccc(-c2nn[nH]n2)c1,46.518,4.332378965646849,0,46518.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
N=C(N)NCCC[C@H](NC(=O)c1nccs1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(N)=O)c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,1.0,6.0,1,1000.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
N=C(N)NCCC[C@H](NC(=O)c1nccs1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(N)=O)c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,1.695,5.770830297460899,1,1695.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]c(-c3ccccc3)nc12,3.672,5.435097327470795,1,3672.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
Cc1nc2c(C(=O)Nc3ccc4c(c3)CNC4)cc(Cl)cc2[nH]1,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
CNC(=O)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc(C2CC2)c1,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(NC1CCOCC1)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc(C2CC2)c1,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
