osm_number,smiles,activity,norm_activity,bin_activity,ec50_qualifier
OSM-A-1,O=C(/C(S/1)=C/C2=C(C)N(C(C)=C2)C3=CC=C(S(=O)(N)=O)C=C3)NC1=N\C4=CC=CC=C4,3.7145,0.2961783439490446,0,
OSM-A-2,O=C(/C(S/1)=C/C2=C(C)N(C(C)=C2)C3=CC=C(C#N)C=C3)NC1=N\C4=CC=CC=C4,1.2015,0.45222929936305734,1,
OSM-A-3,O=C(/C(S/1)=C/C2=C(C)N(C(C)=C2)C3=CC=C(I)C=C3)NC1=N\C4=CC=CC=C4,0.119,0.7961783439490446,1,
OSM-E-15,FC(C(F)=C1)=CC=C1CCOC2=CC=CC3=NN=C(C4=CC=C(C#N)C=C4)N32,3.5,0.3057324840764331,0,
OSM-E-16,ClC(C=CC=C1)=C1CCOC2=CC=CC3=NN=C(C4=CC=C(C#N)C=C4)N32,5.2,0.24203821656050956,0,
OSM-E-17,N#CC(C=C1)=CC=C1C2=NN=C3C=CC=C(OCCC4=CC=CC=C4)N32,6.8,0.21019108280254778,0,
OSM-E-23,OCCCNC1=C2C(C=C(S2)C3=CC(S(=O)(N)=O)=CC=C3)=NC=N1,18.5,0.012738853503184714,0,
OSM-L-1,CC(N1C2=CC(F)=CC=C2)=CC(/C=C(C(N/3C4=CC=CC=C4)=O)\SC3=N/C5=CC=CC=C5)=C1C,3.2,0.31210191082802546,0,
OSM-S-10,FC1=CC=C(N2C(C)=CC(/C=C3S/C(NC\3=O)=N\C4=CC=CC=C4)=C2C)C=C1,0.1925,0.7515923566878981,1,
OSM-S-100,FC1=CC=C(N2C(C)=CC(C(OC(C)C(O)=O)=O)=C2C)C=C1,0.0,0.8821656050955414,1,
OSM-S-101,FC1=CC=C(N2C(C)=CC(C3=NC(C(O)=O)=CO3)=C2C)C=C1,0.0,0.8853503184713376,1,
OSM-S-102,FC1=CC=C(N2C(C)=CC(C(CCC(NC)=O)=O)=C2C)C=C1,0.0,0.8885350318471338,1,
OSM-S-104,FC1=CC=C(N2N=CC(C3=NC(C(O)=O)=CO3)=C2C)C=C1,0.0,0.89171974522293,1,
OSM-S-105,FC1=CC=C(N2N=CC(C3=NC(C(N)=O)=CO3)=C2C)C=C1,0.0,0.8949044585987261,1,
OSM-S-106,NC1=C2C(C=C(C3=CC(S(N)(=O)=O)=CC=C3)S2)=NC=N1,0.077725,0.8312101910828026,1,
OSM-S-108,O=C(/C(S/1)=C/C2=C(C)NC(C)=C2)NC1=N\C3=CC=CC=C3,1.2,0.4554140127388535,1,
OSM-S-109,O=C(/C(S/1)=C/C2=C(C)N(C3=CC=C([N+]([O-])=O)C=C3)C(C)=C2)NC1=N\C4=CC=CC=C4,0.262,0.7261146496815286,1,
OSM-S-110,O=C(/C(S/1)=C/C2=C(C)N(C3=CC=C([N+]([O-])=O)C=C3)C(C)=C2)NC1=N\C4=CC(O)=CC=C4,2.3,0.34394904458598724,1,
OSM-S-111,O=C(/C(S/1)=C/C2=C(C)N(C3=CC=C(OC)C=C3)C(C)=C2)NC1=N\C4=CC=CC=C4,0.1656666667,0.767515923566879,1,
OSM-S-112,O=C(/C(S/1)=C/C2=C(C)N(C3=CC=C(OC)C=C3)C(C)=C2)NC1=N\C4=CC(O)=CC=C4,1.6,0.410828025477707,1,
OSM-S-113,O=C(/C(S/1)=C/C2=C(C)N(C3=CC=CC=N3)C(C)=C2)NC1=N\C4=CC=C(O)C=C4,0.0,0.8980891719745223,1,
OSM-S-114,O=C(/C(S/1)=C/C2=C(C)N(C3=CC=CC=C3)C(C)=C2)NC1=N\C4=CC(O)=CC=C4,1.2,0.4585987261146497,1,
OSM-S-115,O=C(/C(S/1)=C/C2=C(C)N(C3=CC=CC=C3)C(C)=C2)NC1=N\C4=CC=C(O)C=C4,1.8,0.39171974522292996,1,
OSM-S-116,CC(N1C2=CC=C(F)C=C2)=C(C(OC(C)C(N)=O)=O)C=C1C,11.0,0.04777070063694268,0,
OSM-S-12,CC(N1C2=CC=CC=C2)=CC(C(O)=O)=C1C,0.0,0.9012738853503185,1,
OSM-S-123,NC1=C2C(C=C(C3=CC=CC=C3)S2)=NC=N1,5.91,0.22611464968152867,0,
OSM-S-13,CC1=CC=C(N2C(C)=C(C(O)=O)C=C2C)C=C1,0.0,0.9044585987261147,1,
OSM-S-136,BrC1=CC2=NC=NC(N3CCN(CC4=CC=C(F)C=C4)CC3)=C2S1,15.0,0.025477707006369428,0,
OSM-S-137,FC(C=C1)=CC=C1CN(CC2)CCN2C3=C4C(C=C(C5=CC=CC(S(N)(=O)=O)=C5)S4)=NC=N3,1.7,0.39490445859872614,1,
OSM-S-138,CC1=CC(/C=C(S/2)/C(NC2=N\C3=CC=CC=C3)=O)=C(C)N1C4=CC=C(N)C=C4,2.3,0.3471337579617834,1,
OSM-S-14,CC(N1C2=CC=C(C(F)(F)F)C=C2)=CC(C(O)=O)=C1C,0.0,0.9076433121019108,1,
OSM-S-16,O=C(NC1=C(C)N(C)N(C2=CC=CC=C2)C1=O)CNC(C3=CC=CC=C3)=O,0.0,0.910828025477707,1,
OSM-S-175,FC(OC1=CC=C(C2=NN=C3C=NC=C(N32)C(NC4=CC(C(F)(F)F)=NC=C4)=O)C=C1)F,0.2957,0.6910828025477707,1,
OSM-S-176,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(NCC4=CC(Cl)=CC=C4)=O)N32,0.25,0.7356687898089171,1,
